"Year...Month","Event","Deaths","Injured","Houses.Destroyed","Houses.Damaged","Directly.affected","Indirectly.Affected","Country","Category","Country_ID","Category_ID"
"1970/01","ACCIDENT",3,5,4,23,6398,3000,"Argentina","Man-made - Transportation",1,5
"1970/01","ALLUVION",27,6,70,40,6398,3000,"Argentina","Other",1,9
"1970/01","ELECTRICSTORM",5,1,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/01","EPIDEMIC",9,104,4,23,6398,3000,"Argentina","Biological - Epidemics",1,1
"1970/01","EXPLOSION",2,2,4,23,6398,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/01","FIRE",1,17,246,1,220,115,"Argentina","Man-made - Fire and Explosions",1,3
"1970/01","FLOOD",2,6,5,23,6398,3000,"Argentina","Natural - Hydrological",1,7
"1970/01","HAILSTORM",2,5,32,6,1000,80,"Argentina","Natural - Meteorological",1,8
"1970/01","LANDSLIDE",2,6,4,23,6398,3000,"Argentina","Natural - Geological",1,6
"1970/01","POLLUTION",2,40,4,23,6398,3000,"Argentina","Man-made - Pollution",1,4
"1970/01","RAIN",4,6,1,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/01","STORM",1,1,1,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/01","STRONGWIND",2,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/02","ACCIDENT",6,40,4,23,6398,3000,"Argentina","Man-made - Transportation",1,5
"1970/02","ALLUVION",2,6,4,23,6398,3000,"Argentina","Other",1,9
"1970/02","DROUGHT",2,6,4,23,5000,3000,"Argentina","Other",1,9
"1970/02","EPIDEMIC",4,143,4,23,6398,3000,"Argentina","Biological - Epidemics",1,1
"1970/02","EXPLOSION",8,3,7,23,28,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/02","FIRE",6,3,35,1,140,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/02","FLOOD",2,6,3,23,6398,153,"Argentina","Natural - Hydrological",1,7
"1970/02","FORESTFIRE",2,6,2,23,18,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/02","HAILSTORM",2,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/02","LANDSLIDE",2,6,4,23,6398,3000,"Argentina","Natural - Geological",1,6
"1970/02","PLAGUE",2,6,4,23,6398,3000,"Argentina","Biological - Epidemics",1,1
"1970/02","POLLUTION",8,30,4,23,6398,3000,"Argentina","Man-made - Pollution",1,4
"1970/02","STORM",1,6,4,23,6398,4,"Argentina","Natural - Meteorological",1,8
"1970/02","STRONGWIND",4,14,4,23,6398,2,"Argentina","Natural - Meteorological",1,8
"1970/02","STRUCTURE",1,1,4,23,6398,3000,"Argentina","Other",1,9
"1970/03","ACCIDENT",4,20,4,23,6398,3000,"Argentina","Man-made - Transportation",1,5
"1970/03","ALLUVION",2,6,4,23,6398,41,"Argentina","Other",1,9
"1970/03","EPIDEMIC",30,194,4,23,6398,3000,"Argentina","Biological - Epidemics",1,1
"1970/03","EXPLOSION",1,9,4,23,25,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/03","FIRE",2,8,301,23,6398,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/03","FLOOD",2,3,30,23,6398,314,"Argentina","Natural - Hydrological",1,7
"1970/03","HAILSTORM",2,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/03","OTHER",2,6,4,23,6398,3000,"Argentina","Other",1,9
"1970/03","RAIN",2,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/03","STORM",2,6,40,50,1800,3000,"Argentina","Natural - Meteorological",1,8
"1970/03","STRONGWIND",2,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/03","STRUCTURE",1,2,4,1,6398,3000,"Argentina","Other",1,9
"1970/04","ACCIDENT",2,10,4,23,6398,3000,"Argentina","Man-made - Transportation",1,5
"1970/04","EPIDEMIC",2,1,4,23,6398,3000,"Argentina","Biological - Epidemics",1,1
"1970/04","EXPLOSION",2,8,4,23,6398,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/04","FIRE",2,2,1,23,15,800,"Argentina","Man-made - Fire and Explosions",1,3
"1970/04","FLOOD",2,6,4,23,6398,3000,"Argentina","Natural - Hydrological",1,7
"1970/04","POLLUTION",2,6,4,23,6398,3000,"Argentina","Man-made - Pollution",1,4
"1970/04","STORM",2,6,4,23,6398,600,"Argentina","Natural - Meteorological",1,8
"1970/04","STRUCTURE",2,7,4,23,6398,3000,"Argentina","Other",1,9
"1970/05","ACCIDENT",1,61,4,23,6398,3000,"Argentina","Man-made - Transportation",1,5
"1970/05","EPIDEMIC",16,55,4,23,6398,3000,"Argentina","Biological - Epidemics",1,1
"1970/05","EXPLOSION",1,11,4,2,6398,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/05","FIRE",2,12,35,3,120,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/05","FLOOD",2,6,4,23,6398,3000,"Argentina","Natural - Hydrological",1,7
"1970/05","FOG",9,20,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/05","FORESTFIRE",5,1,4,2,6398,3000,"Argentina","Man-made - Fire and Explosions",1,3
"1970/05","FROST",2,6,4,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/05","LEAK",3,2,4,23,6398,3000,"Argentina","Man-made - Pollution",1,4
"1970/05","POLLUTION",2,10000,4,23,6398,3000,"Argentina","Man-made - Pollution",1,4
"1970/05","SNOWSTORM",2,6,4,23,6398,24,"Argentina","Natural - Meteorological",1,8
"1970/05","STRONGWIND",1,8,1,23,6398,3000,"Argentina","Natural - Meteorological",1,8
"1970/05","STRUCTURE",1,6,4,2,6398,3000,"Argentina","Other",1,9
"1970/06","ACCIDENT",2,8,4,23,6398,17,"Argentina","Man-made - Transportation",1,5
"1970/06","DROUGHT",2,6,4,23,6398,3000,"Argentina","Other",1,9
"1970/06","EPIDEMIC",16,214,4,23,6398,3000,"Argentina","Biological - Epidemics",1,1
