Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
1974/08,TRAFIC ACCIDENT,1,47,13,,,,,,,
1980/07,FLOOD,6,,,,,,,,,
1983/06,FLOOD,1,2,,,,,,,,
1983/11,BUSH FIRE,1,,,,,,,,,
1984/04,BUSH FIRE,1,,,,,,,,,
1984/06,FIRE,1,,,,,1,,,,
1985/10,BUSH FIRE,1,,,,,,,,,
1986/04,FIRE,1,1,4,,,1,,,,
1986/06,FLOOD,1,,,1750,,,,,,
1987/12,BUSH FIRE,2,,,,,,,,,
1987/12,FIRE,1,,,,,,,,,
1988/01,BUSH FIRE,4,,,,,,190,,,
1988/05,FLOOD,1,,,,,,,,,
1988/08,FLOOD,8,17,,,663,,5012,,,
1988/12,TRAFIC ACCIDENT,1,1,,,,,,,,
1989/01,FIRE,1,,,,,,,,,
1991/04,FLOOD,1,,,,,,,,,
1991/05,FLOOD,1,,,,,,,,,
1991/10,STRONG WIND,1,,,,,,,,,
1992/03,FIRE,1,,,,,,,,,
1992/07,FLOOD,1,,,,,,,,,
1992/08,FLOOD,3,2,,,293,,3400,,,
1992/11,FIRE,1,,3,,,,,,,
1992/12,FIRE,1,,,,28,,,,,
1993/06,FLOOD,1,,,,,,,,,
1994/05,STRONG WIND,2,,,,114,,578,,,
1994/10,FIRE,1,,,,,,,,,
1995/01,FIRE,1,,,,,,,,,
1996/05,FIRE,1,,,,1,,,,,
1997/01,MENINGITIS,35,,124,,,,,,,
1997/12,FIRE,2,,,,,,,,,
1997/12,MEASLE,7,,11,,,,,,,
1998/01,MEASLE,27,,78,,,,,,,
1998/01,MENINGITIS,153,,657,,,,,,,
1998/02,MEASLE,87,,425,,,,,,,
1998/02,MENINGITIS,165,,1016,,,,,,,
1998/03,MEASLE,169,,1679,,,,,,,
1998/03,MENINGITIS,236,,1842,,,,,,,
1998/04,MEASLE,148,,1546,,,,,,,
1998/04,MENINGITIS,175,,944,,,,,,,
1998/05,MEASLE,128,,874,,,,,,,
1998/05,MENINGITIS,130,,284,,,,,,,
1998/06,MEASLE,123,,540,,,,,,,
1998/06,MENINGITIS,120,,226,,,,,,,
1998/07,MEASLE,60,,197,,,,,,,
1998/07,MENINGITIS,54,,95,,,,,,,
1998/08,CHOLERA,6,22,272,,,,,,,
1998/08,MEASLE,31,,63,,,,,,,
1998/08,MENINGITIS,53,,78,,,,,,,
1998/09,CHOLERA,12,11,346,,,,,,,
1998/09,MEASLE,18,,35,,,,,,,
1998/09,MENINGITIS,50,,82,,,,,,,
1998/10,CHOLERA,8,2,78,,,,,,,
1998/10,MEASLE,18,,56,,,,,,,
1998/10,MENINGITIS,48,,102,,,,,,,
1998/11,CHOLERA,2,1,43,,,,,,,
1998/11,MEASLE,30,,151,,,,,,,
1998/11,MENINGITIS,84,,149,,,,,,,
1998/12,MEASLE,38,,207,,,,,,,
1998/12,MENINGITIS,92,,197,,,,,,,
1999/00,CHOLERA,3,3,80,,,,,,,
1999/00,STRONG RAIN,1,,8,,,,,,,
1999/01,MEASLE,51,,541,,,,,,,
1999/01,MENINGITIS,121,,321,,,,,,,
1999/02,MEASLE,104,,1095,,,,,,,
1999/02,MENINGITIS,150,,493,,,,,,,
1999/03,MEASLE,178,,1976,,,,,,,
1999/03,MENINGITIS,192,,789,,,,,,,
1999/04,MEASLE,177,,2611,,,,,,,
1999/04,MENINGITIS,161,,632,,,,,,,
1999/05,MEASLE,201,,1834,,,,,,,
1999/05,MENINGITIS,149,,299,,,,,,,
1999/06,MEASLE,108,,487,,,,,,,
1999/06,MENINGITIS,75,,122,,,,,,,
1999/07,MEASLE,59,,125,,,,,,,
1999/07,MENINGITIS,62,,83,,,,,,,
1999/08,MEASLE,27,,47,,,,,,,
1999/08,MENINGITIS,59,,78,,,,,,,
1999/09,MEASLE,13,,19,,,,,,,
1999/09,MENINGITIS,47,,76,,,,,,,
1999/10,MEASLE,15,,20,,,,,,,
1999/10,MENINGITIS,67,,105,,,,,,,
1999/11,MEASLE,26,,59,,,,,,,
1999/11,MENINGITIS,72,,122,,,,,,,
1999/12,MEASLE,28,,64,,,,,,,
1999/12,MENINGITIS,65,,139,,,,,,,
2000/01,MEASLE,70,,302,,,,,,,
2000/01,MENINGITIS,161,,508,,,,,,,
2000/02,MEASLE,105,,487,,,,,,,
2000/02,MENINGITIS,158,,593,,,,,,,
2000/03,MEASLE,156,,1262,,,,,,,
2000/03,MENINGITIS,178,,854,,,,,,,
2000/04,MEASLE,139,,1395,,,,,,,
2000/04,MENINGITIS,151,,856,,,,,,,
2000/05,MEASLE,163,,1631,,,,,,,
2000/05,MENINGITIS,154,,403,,,,,,,
2000/06,MEASLE,94,,624,,,,,,,
2000/06,MENINGITIS,85,,164,,,,,,,
2000/07,MEASLE,52,,187,,,,,,,
2000/07,MENINGITIS,76,,113,,,,,,,
2000/08,MEASLE,17,,52,,,,,,,
2000/08,MENINGITIS,48,,86,,,,,,,
2000/09,MEASLE,12,,46,,,,,,,
2000/09,MENINGITIS,45,,78,,,,,,,
2000/10,MEASLE,20,,28,,,,,,,
2000/10,MENINGITIS,69,,129,,,,,,,
2000/11,MEASLE,12,,20,,,,,,,
2000/11,MENINGITIS,65,,110,,,,,,,
2000/12,MEASLE,11,,17,,,,,,,
2000/12,MENINGITIS,63,,144,,,,,,,
2001/01,MEASLE,48,,156,,,,,,,
2001/01,MENINGITIS,239,,1056,,,,,,,
2001/02,MEASLE,80,,361,,,,,,,
2001/02,MENINGITIS,180,,1764,,,,,,,
2001/03,MEASLE,114,,685,,,,,,,
2001/03,MENINGITIS,196,,5087,,,,,,,
2001/04,MEASLE,147,,999,,,,,,,
2001/04,MENINGITIS,242,,4736,,,,,,,
2001/05,MEASLE,121,,1090,,,,,,,
2001/05,MENINGITIS,122,,335,,,,,,,
2001/06,MEASLE,96,,510,,,,,,,
2001/06,MENINGITIS,85,,158,,,,,,,
2001/07,CHOLERA,2,1,5,,,,,,,
2001/07,MEASLE,71,,183,,,,,,,
2001/07,MENINGITIS,62,,112,,,,,,,
2001/08,CHOLERA,6,2,49,,,,,,,
2001/08,MEASLE,25,,62,,,,,,,
2001/08,MENINGITIS,38,,56,,,,,,,
2001/09,CHOLERA,9,5,385,,,,,,,
2001/09,MEASLE,17,,19,,,,,,,
2001/09,MENINGITIS,41,,53,,,,,,,
2001/10,CHOLERA,12,1,91,,,,,,,
2001/10,MEASLE,8,,17,,,,,,,
2001/10,MENINGITIS,73,,115,,,,,,,
2001/11,CHOLERA,3,,6,,,,,,,
2001/11,DROUGHT,45,,,,,,,859980,,
2001/11,MEASLE,18,,30,,,,,,,
2001/11,MENINGITIS,61,,119,,,,,,,
2001/12,MEASLE,31,,78,,,,,,,
2001/12,MENINGITIS,129,,328,,,,,,,
2002/00,MENINGITIS,1,,2,,,,,,,
2002/01,MEASLE,39,,99,,,,,,,
2002/01,MENINGITIS,187,46,783,,,,,,,
2002/02,MEASLE,70,,150,,,,,,,
2002/02,MENINGITIS,239,59,1514,,,,,,,
2002/02,STRONG RAIN,3,11,41,,,,,,,
2002/03,MEASLE,97,,319,,,,,,,
2002/03,MENINGITIS,265,139,5318,1,,,,,,
2002/03,STRONG RAIN,2,8,55,,,,,,,
2002/04,MEASLE,148,,570,,,,,,,
2002/04,MENINGITIS,330,164,7148,,,,,,,
2002/04,STRONG RAIN,2,,17,,,,,,,
2002/05,CHOLERA,1,2,4,,,,,,,
2002/05,MEASLE,95,,354,,,,,,,
2002/05,MENINGITIS,219,27,957,,,,,,,
2002/06,MEASLE,63,,139,,,,,,,
2002/06,MENINGITIS,154,17,299,,,,,,,
2002/06,STRONG RAIN,1,,1,,,,,,,
2002/07,MEASLE,20,,30,,,,,,,
2002/07,MENINGITIS,114,8,201,,,,,,,
2002/08,MEASLE,8,,8,,,,,,,
2002/08,MENINGITIS,60,7,101,,,,,,,
2002/09,MEASLE,59,,8,,,,,,,
2002/09,MENINGITIS,94,1,147,,,,,,,
2002/10,MEASLE,13,,13,,,,,,,
2002/10,MENINGITIS,104,8,201,,,,,,,
2002/11,DROUGHT,45,,,,,,,792014,,
2002/11,MEASLE,12,,14,,,,,,,
2002/11,MENINGITIS,142,12,299,,,,,,,
2002/12,MEASLE,72,,28,,,,,,,
2002/12,MENINGITIS,244,26,727,,,,,,,
2002/12,STRONG RAIN,1,,23,,,,,,,
2003/01,MEASLE,28,,41,,,,,,,
2003/01,MENINGITIS,197,,1210,,,,,,,
2003/02,MEASLE,75,,198,,,,,,,
2003/02,MENINGITIS,209,,2329,,,,,,,
2003/03,MEASLE,161,,1223,,,,,,,
2003/03,MENINGITIS,260,,2545,,,,,,,
2003/04,MEASLE,160,,2536,,,,,,,
2003/04,MENINGITIS,192,,1061,,,,,,,
2003/05,MEASLE,145,,1698,,,,,,,
2003/05,MENINGITIS,151,,373,,,,,,,
2003/06,MEASLE,163,,1241,,,,,,,
2003/06,MENINGITIS,121,,220,,,,,,,
2003/07,MEASLE,85,,322,,,,,,,
2003/07,MENINGITIS,65,,93,,,,,,,
2003/08,MEASLE,54,,111,,,,,,,
2003/08,MENINGITIS,44,,62,,,,,,,
2003/09,MEASLE,34,,45,,,,,,,
2003/09,MENINGITIS,70,,112,,,,,,,
2003/09,YELLOW FEVER,1,,1,,,,,,,
2003/10,MEASLE,16,,20,,,,,,,
2003/10,MENINGITIS,74,,111,,,,,,,
2003/11,DROUGHT,43,,,,,,,132697,,
2003/11,EPIZOOTIE,2,,,,,,,,,
2003/11,MEASLE,22,,27,,,,,,,
2003/11,MENINGITIS,88,,148,,,,,,,
2003/12,MEASLE,11,,16,,,,,,,
2003/12,MENINGITIS,151,,352,,,,,,,
2004/01,MEASLE,18,,30,,,,,,,
2004/01,MENINGITIS,177,,609,,,,,,,
2004/01,YELLOW FEVER,2,1,2,,,,,,,
2004/02,MEASLE,69,,165,,,,,,,
2004/02,MENINGITIS,204,,1078,,,,,,,
2004/03,MEASLE,140,,589,,,,,,,
2004/03,MENINGITIS,261,,2020,,,,,,,
2004/03,STRONG RAIN,3,,,,,,,,,
2004/03,YELLOW FEVER,1,,1,,,,,,,
2004/04,MEASLE,109,,564,,,,,,,
2004/04,MENINGITIS,199,,944,,,,,,,
2004/04,STRONG RAIN,8,,,,,,,,,
2004/04,YELLOW FEVER,4,,4,,,,,,,
2004/05,MEASLE,114,,415,,,,,,,
2004/05,MENINGITIS,180,,429,,,,,,,
2004/05,STRONG RAIN,13,,,,,,,,,
2004/06,MEASLE,65,,154,,,,,,,
2004/06,MENINGITIS,113,,227,,,,,,,
2004/06,STRONG RAIN,25,,,,,,,,,
2004/06,YELLOW FEVER,2,1,2,,,,,,,
2004/07,MEASLE,18,,28,,,,,,,
2004/07,MENINGITIS,73,,111,,,,,,,
2004/07,STRONG RAIN,36,,,,,,,,,
2004/08,MEASLE,14,,20,,,,,,,
2004/08,MENINGITIS,71,,120,,,,,,,
2004/08,STRONG RAIN,72,,,,,,,,,
2004/09,MEASLE,10,,19,,,,,,,
