Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
1980/00,EPIDEMIC,1,,,,,,,,,
1981/11,EARTHQUAKE,1,,,,,,,,,
1983/02,EARTHQUAKE,1,,,,,,,,,
1986/09,LIQUEFACTION,1,,,,10,,,,,
1991/01,LIQUEFACTION,1,,,,15,,,,,
1992/01,EARTHQUAKE,1,,,,,,,,,
1992/01,LIQUEFACTION,1,,,,15,,,,,
1992/10,EARTHQUAKE,2,,,,,233,,,,
1993/10,LIQUEFACTION,3,,,,,,,,,
1994/01,LIQUEFACTION,1,,,,,,,,,
1994/11,FLOOD,1,,,,,6,,,,6
1994/11,LIQUEFACTION,3,1,2,,,6,,,,6
1995/00,LIQUEFACTION,1,,,,,20,,,,
1995/01,LIQUEFACTION,1,,,,,126,,20,,
1995/05,LIQUEFACTION,1,,,,,,,,,
1995/11,EARTHQUAKE,5,3,32,,,6,,,,
1996/11,LIQUEFACTION,5,2,2,,3,8,,,,
1997/10,LIQUEFACTION,2,,7,2,,,,,,
1997/12,LIQUEFACTION,1,,7,,,,,,,
2000/10,EARTHQUAKE,1,,,,,,,,,
2002/02,TRAINS ACCEDNTS,1,,350,,,,,,,
2002/09,LIQUEFACTION,1,,,,,,,,,
2003/03,Nawaa,2,,,,,,,,,
2003/12,LIQUEFACTION,1,,,,,,,,,
2004/01,EARTHQUAKE,1,,,,,,,,,
2004/10,LIQUEFACTION,1,,,,,,,,,
2005/04,LIQUEFACTION,1,,,,,,,,,
2005/10,SHIPS  ACCEDNTS,1,1,80,,,,,,,
2005/12,EPIDEMIC,4,,,,,,,140,,
2006/00,EPIDEMIC,1,,,,,,,,,
2006/01,POLLUTION,1,,,,,,,,,
2007/01,EPIDEMIC,1,1,,,,,,,,
2007/04,EARTHQUAKE,1,,,,,,,,,
2007/10,BIOLOGICAL,1,,,,,,,,,
2007/12,EPIDEMIC,1,,,,,,,,,
2008/02,FIRE,1,6,5,,,,,,,
2008/10,STRUCTURAL COLLAPSE,1,2,1,,,,,,,
2008/12,ROAD ACCIDENT,1,13,30,,,,,,,
2009/00,EPIDEMIC,1,2,,,,,,,,
2009/06,STRUCTURAL COLLAPSE,1,3,,,,,,,,
2009/08,EXPLOSION,1,,1,,,,,,,
2009/09,STRUCTURAL COLLAPSE,1,,,,,,,,,
2009/10,LIQUEFACTION,1,,,,,,,,,
2010/01,EPIDEMIC,1,1,,,,,,,,
2010/01,EXPLOSION,1,,,,,,,,,
2010/01,FLASH FLOOD,1,,,,,,,,,
2010/01,LIQUEFACTION,9,6,23,,1276,1472,,,,
2010/03,EPIDEMIC,1,1,,,,,,,,
2010/05,EPIDEMIC,2,,,,,,,16,,
2010/05,LIQUEFACTION,2,,,,10,8,,,,
2010/09,FIRE,3,30,39,,,,,,,
2010/09,LIQUEFACTION,1,,10,,,,,,,
2010/09,ROAD ACCIDENT,1,30,17,,,,,,,
TOTAL,,83,102,606,2,1329,1885,,176,,12
