Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
1997/03,FOREST FIRE,1,1,,,,,,,,
1997/06,EPIDEMIC,1,,,,,,,,,
1997/10,EPIDEMIC,1,,,,,,,,,
1997/11,EPIDEMIC,1,,,,,,,,,
2002/05,FLOOD,30,73,11,,,,,,,
2002/12,LANDSLIDE,2,4,,,,,,,,
2003/02,FOREST FIRE,1,,,,,,,,,
2003/09,FLOOD,4,,,,27,,,21565,,
2003/12,FLOOD,1,,,,,,,,,
2003/12,LANDSLIDE,3,7,3,,,,,,,
2004/03,FOREST FIRE,1,,,,,,,,,
2004/12,LANDSLIDE,1,,,,,,,,,
2005/01,FLOOD,2,,,,,,,,,
2005/02,FOREST FIRE,12,,,,,,,,,
2005/04,FLOOD,2,,,,,,,780,,
2005/05,FLOOD,11,,,,,,,7160,,
2005/11,FLOOD,1,11,15,,,,,200,,
2005/12,LANDSLIDE,1,,,,,,,,,
2006/04,FLOOD,6,4,,,,,,6831,107,
2006/05,LANDSLIDE,1,,,,1,,,7,,
2006/10,FLOOD,13,13,2,,503,354,,25878,835,1775
2006/12,LANDSLIDE,1,,,,,,,,,
2007/01,EPIDEMIC,8,,,,,,,,,
2007/03,EPIDEMIC,1,,,,,,,,,
2007/08,FLOOD,10,,,,,,,24848,,
2007/08,LANDSLIDE,1,8,116,,,,,,,
2007/12,FLOOD,1,,,,,,,,,
2007/12,LANDSLIDE,1,3,,,,,,,,
2007/12,PLAGUE,1,,,,,,,,,
2008/01,EPIDEMIC,1,11,325,,,,,,,
2008/02,EPIDEMIC,2,1,123,,,,,,,
2008/03,EPIDEMIC,10,,,,,,,1,,
2008/04,EPIDEMIC,2,2,16,,,,,,,
2008/04,FLOOD,1,,,,,,,4200,,
2008/05,DROUGHT,1,,,,,,,98000,,
2008/06,FLOOD,8,1,17,,204,1891,,18431,,
2008/09,SUBSIDENCE,1,,,,,,,,,
2008/11,FLOOD,57,27,16,,5,202,,213882,2715,
2008/11,LANDSLIDE,4,20,16,,2,1,,15,,
2008/11,THUNDERSTORM,1,,,,,,,,,
2008/12,FOREST FIRE,1,,,,,,,,,
2008/12,LANDSLIDE,1,,,,,,,,,
2009/01,DROUGHT,1,,,,,,,65500,,
2009/01,EPIDEMIC,32,90,,,,,,548,,
2009/01,FLOOD,1,,,,,,,1168,,
2009/02,DROUGHT,2,,,,,,,39794,,
2009/02,FLOOD,1,,,,,,,29000,,
2009/02,FOREST FIRE,1,,,,,,,,,
2009/03,DROUGHT,23,,,,,,,1466212,,
2009/03,EPIDEMIC,1,3,,,,,,44,,
2009/03,FLOOD,3,,,,,,,158650,,
2009/03,FOREST FIRE,24,,,,,,,,,
2009/04,DROUGHT,51,,,,,,,14129,,
2009/04,EPIDEMIC,1,,,,,,,750,,
2009/05,DROUGHT,5,,,,,,,456656,,
2009/05,FLOOD,6,,,,1044,,,400,,
2009/05,LANDSLIDE,1,1,,,5,,,,,
2009/05,MUDSLIDE,2,,,,,,,,,
2009/07,EPIDEMIC,3,,,,,,,6,,
2009/08,DROUGHT,146,,,,,,,1424666,,
2009/08,EPIDEMIC,14,33,,,,,,68,,
2009/08,FLOOD,1,,,,,,,6,,
2009/09,DROUGHT,1,,,,,,,,,
2009/09,EPIDEMIC,7,47,,,,,,66,,
