Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
1982/00,CYCLONES,9,,,,,,,,,
1983/00,CYCLONES,4,,,,,,,,,
1984/00,CYCLONES,13,,,,,,,,,
1986/00,CYCLONES,4,,,,,,,,,
1989/00,CYCLONES,8,,,,,,,,,
1994/00,CYCLONES,21,,,,,,,,,
1996/00,CYCLONES,26,,,,,,,,,
1997/00,CYCLONES,17,,,,,,,,,
1997/01,CYCLONES,6,126,231,14,,,21062,21293,,
2000/00,CYCLONES,16,,,,,,,,,
2000/00,POLLUTION MARINE,1,,,,,,,,,
2000/02,CYCLONES,15,7,1,1,,148,164,165,5335,
2000/03,CYCLONES,42,240,10,76,,2819,24161,24171,1857,
2001/03,CYCLONES,17,9,,,,420,3676,3676,580,
2002/00,CYCLONES,13,,,,,,,,,
2002/05,CYCLONES,5,34,1,7,,2121,22324,22325,266,
2003/00,CYCLONES,4,,,,,,,,,
2003/05,CYCLONES,2,70,86,19,,7563,114480,114566,,
2004/00,CYCLONES,30,,,,,,,,,
2004/00,FEUX DE BROUSSES,34,,,,,,,,,
2004/01,CYCLONES,39,29,107,1,9505,,18198,18305,,
2004/03,CYCLONES,77,213,891,174,102930,,265813,266704,,
2004/04,CYCLONES,1,23,,6,2110,,10651,10651,,
2005/00,CYCLONES,8,,,,,,,,,
2005/00,FEUX DE BROUSSES,50,,,,,,,,,
2005/00,MALNUTRITION,1,,,,,,,,,
2005/01,CYCLONES,16,35,,260,,7734,30273,30273,2841,
2005/03,EPIDEMIC,1,6,,,,,,,,
2005/03,FLOOD,5,14,,,,,77006,59983,,
2006/00,CYCLONES,9,,,,,,,,,
2006/00,EPIDEMIC,2,,,,,,,798,,
2006/00,FEUX DE BROUSSES,41,,,,,,,,,
2006/00,MALNUTRITION,2,,,,,,,,,
2006/01,CYCLONES,8,7,1,2,,39,6537,6538,558,
2006/07,POLLUTION MARINE,1,,,,,,,,,
2006/12,CYCLONES,10,6,1,4,,345,20013,20014,,
2007/00,CYCLONES,40,,,,,,,,,
2007/00,EPIDEMIC,2,,,,,,,1500,,
2007/00,FEUX DE BROUSSES,72,,,,,,,,,
2007/00,MALNUTRITION,1,,,,,,,,,
2007/03,CYCLONES,30,151,128,30,58281,,196346,196474,39400,
2007/12,EPIDEMIC,3,,,,,,,7,,
2008/00,CYCLONES,27,,,,,,,,,
2008/00,FEUX DE BROUSSES,2,,,,,,,,,
2008/00,FIRE,1,,,,,,,,,
2008/00,MALNUTRITION,1,,,,,,,,,
2008/01,EPIDEMIC,9,6,,,,,,155,,
2008/01,FEUX DE BROUSSES,32,,,,,,,,,
2008/01,POLLUTION MARINE,1,,,,,,,,,
2008/02,CYCLONES,68,106,751,176,136700,,343684,344435,111971,
2008/02,EPIDEMIC,8,10,,,,,,167,,
2008/03,CYCLONES,1,,,,44,,400,400,,
2008/03,EPIDEMIC,5,13,,,,,,66,,
2008/04,EPIDEMIC,1,,,,,,,1,,
2008/04,POLLUTION MARINE,1,,,,,,,,,
2008/05,EPIDEMIC,1,,,,,,,52,,
2008/06,EPIDEMIC,2,1,,,,,,12,,
2008/06,POLLUTION MARINE,1,,,,,,,,,
2008/07,EPIDEMIC,1,1,,,,,,1,,
2008/08,EPIDEMIC,1,,,,,,,3,,
2008/08,FLOOD,4,,,,400,,7800,7800,,
2008/08,POLLUTION MARINE,1,,,,,,,,,
2008/09,EPIDEMIC,1,,,,,,,1,,
2008/12,EPIDEMIC,1,,,,,,,9,,
2009/00,CYCLONES,17,,,,,,,,,
2009/00,EPIDEMIC,22,,,,,,,177,,
2009/00,FEUX DE BROUSSES,58,,,,,,,,,
2009/00,FIRE,8,,,,,,,,,
2009/00,MALNUTRITION,2,,,,,,,,,
2009/01,EPIDEMIC,10,3,,,,,,25,,
2009/01,FIRE,1,35,1,,18,,,1,,
2009/02,CYCLONES,1,1,,,,,,,,
2009/02,EPIDEMIC,7,4,,,,,,17,,
2009/02,FIRE,1,1,,,6,,,,,
2009/03,EPIDEMIC,3,4,,,,,,543,,
2009/03,FIRE,1,,,,10,,,,,
2009/04,EPIDEMIC,2,10,,,,,,43,,
2009/04,FIRE,1,,1,,15,,,1,,
2009/05,EPIDEMIC,6,,,,,,,48,,
2009/05,FIRE,1,2,1,,6,,,1,,
2009/06,EPIDEMIC,2,,,,,,,33,,
2009/06,FIRE,4,,4,,58,,270,274,,
2009/07,EPIDEMIC,4,,,,,,,24,,
2009/07,FIRE,5,,,,187,,960,960,,
2009/08,EPIDEMIC,5,,,,,,,8,,
2009/08,FIRE,3,,,,76,,312,312,,
2009/08,POLLUTION MARINE,1,,,,,,,,,
2009/09,EPIDEMIC,8,1,,,,,,8,,
2009/09,FIRE,6,1,5,,95,,372,377,,
2009/10,EPIDEMIC,19,5,,,,,,504,,
