Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
1899/12,DROUGHT,1,,,,,,,,,
1899/12,Flash Floods,1,500,,,,136681,136681,,,
1899/12,Floods,4,,,,,71,71,,,
1899/12,Food Insecurity,2,,,,,6947,6947,,,
1899/12,,2,6,,,,6,6,,,
1900/01,Cholera,2,,,,,4,4,,,
1900/01,Flash Floods,1,,,,,50,50,,,
1900/01,FLOOD,5,,,,,,,,,
1900/01,Floods,16,1,,,,7575,7575,,,
1900/01,Heavy rains and winds,1,,,,,58,58,,,
1900/01,Measles,1,2,,,,2,2,,,
1900/02,Floods,1,,,,,2066,2066,,,
1900/03,Floods,2,,,,,263,263,,,
1900/05,Measles,2,22,,,,22,22,,,
1900/07,Floods,3,3,,,,523,523,,,
1900/07,Rainstorm,5,,,,,908,908,,,
1900/08,Floods,3,,,,,6793,6793,,,
1900/08,Heavy winds,1,1,,,,56,56,,,
1900/09,Floods,2,,,,,1001,1001,,,
1900/10,Floods,12,3,3,,,816,816,,,
1900/10,Stormy Rains,4,,,,,292,292,,,
1900/11,Strong winds/Hailstrom,8,,,,,365,365,,,
1900/12,Floods,1,,,,,334,334,,,
1900/12,Measles,1,24,,,,24,24,,,
1901/02,Floods,4,,,,,1389,1389,,,
1901/03,Floods,1,,,,,32,32,,,
1901/03,Heavy rains,1,,,,,145,145,,,
1901/03,Stormy rains and Hailstorm,3,,,,,89,89,,,
1901/05,Floods,1,,,,,74,74,,,
1901/08,Floods,1,,,,,11,11,,,
1901/09,,1,,,,,1565,1565,,,
1901/11,Floods,2,,,,,291,291,,,
1901/11,Heavy rains,1,,,,,33,33,,,
1901/11,Stormy Rains,2,,,,,390,390,,,
1901/12,CYCLONE,1,,,,,41,41,,,
1901/12,Floods,1,,,,,312,312,,,
1901/12,HAILSTORM,2,,,,,9,9,,,
1902/01,Floods,3,,,,,84,84,,,
1902/02,Floods,12,,,,,625,625,,,
1902/02,Stormy Rains,2,,,,,201,201,,,
1902/03,Heavy rains,2,,,,,1200,1200,,,
1902/04,Floods,1,,,,,,,,,
1902/06,Heavy rain storm,1,,,,,69,69,,,
1905/04,Napolo,1,,,,,,,,,
1905/05,Floods,3,,,,,127,127,,,
1905/06,Boat accident,1,2,,,,2,2,,,
1905/06,Cholera,1,,,,,25000,25000,,,
1905/06,CYCLONE,1,,,,,600,600,,,
1905/06,DROUGHT,1,,,,,,,,,
1905/06,EARTHQUAKE,1,2,100,,,100,100,,,
1905/06,FLOOD,1,,,,,57,57,,,
1905/06,Floods,11,,,,,1051,1051,,,
