Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
1970/01,ACCIDENT,4,3,5,,,,,,,
1970/01,ALLUVION,6,27,,,70,40,,,,1650
1970/01,ELECTRICSTORM,3,5,1,,,,,,,
1970/01,EPIDEMIC,17,9,104,,,,,,,
1970/01,EXPLOSION,1,,2,,,,,,,
1970/01,FIRE,29,1,17,,246,1,220,115,,480
1970/01,FLOOD,28,,,,5,,,,,450
1970/01,HAILSTORM,24,,5,,32,6,1000,80,,194
1970/01,LANDSLIDE,4,,,,,,,,,
1970/01,POLLUTION,7,,40,,,,,,,
1970/01,RAIN,1,4,,,1,,,,,
1970/01,STORM,10,1,1,,1,,,,,17
1970/01,STRONGWIND,5,,,,,,,,,
1970/02,ACCIDENT,1,6,40,,,,,,,
1970/02,ALLUVION,4,,,,4,,,,,24
1970/02,DROUGHT,1,,,,,,5000,,,
1970/02,EPIDEMIC,5,4,143,,,,,,,
1970/02,EXPLOSION,3,8,3,,7,,28,,,
1970/02,FIRE,21,6,3,,35,1,140,,,
1970/02,FLOOD,9,,,,3,,,153,,4
1970/02,FORESTFIRE,3,,,,2,,18,,,8
1970/02,HAILSTORM,2,,,,,,,,,
1970/02,LANDSLIDE,3,,,,,,,,,
1970/02,PLAGUE,2,,,,,,,,,
1970/02,POLLUTION,5,8,30,,,,,,,
1970/02,STORM,4,1,,,,,,4,,
1970/02,STRONGWIND,2,4,14,,,,,2,,
1970/02,STRUCTURE,4,1,1,,,,,,,
1970/03,ACCIDENT,4,4,20,,,,,,,
1970/03,ALLUVION,2,,,,,,,41,,
1970/03,EPIDEMIC,6,30,194,,,,,,,
1970/03,EXPLOSION,2,1,9,,,,25,,,
1970/03,FIRE,17,,8,,301,,,,,1612
1970/03,FLOOD,40,2,3,,30,,,314,,910
1970/03,HAILSTORM,1,,,,,,,,,
1970/03,OTHER,1,,,,,,,,,
1970/03,RAIN,2,,,,,,,,,
1970/03,STORM,9,,,,40,50,1800,,,70
1970/03,STRONGWIND,1,,,,,,,,,
1970/03,STRUCTURE,4,1,2,,,1,,,,
1970/04,ACCIDENT,1,2,10,,,,,,,
1970/04,EPIDEMIC,2,,1,,,,,,,
1970/04,EXPLOSION,2,,8,,,,,,,
1970/04,FIRE,17,,2,,1,,15,800,,
1970/04,FLOOD,3,,,,,,,,,
1970/04,POLLUTION,4,,,,,,,,,
1970/04,STORM,1,,,,,,,600,,
1970/04,STRUCTURE,2,,7,,,,,,,
1970/05,ACCIDENT,2,1,61,,,,,,,
1970/05,EPIDEMIC,17,16,55,,,,,,,
1970/05,EXPLOSION,7,1,11,,,2,,,,
1970/05,FIRE,22,2,12,,35,3,120,,,16
1970/05,FLOOD,4,,,,,,,,,
1970/05,FOG,1,9,20,,,,,,,
1970/05,FORESTFIRE,1,5,1,,,2,,,,
1970/05,FROST,2,,,,,,,,,
1970/05,LEAK,2,3,2,,,,,,,
1970/05,POLLUTION,1,,10000,,,,,,,
1970/05,SNOWSTORM,7,,,,,,,24,,
1970/05,STRONGWIND,3,1,8,,1,,,,,
1970/05,STRUCTURE,2,1,,,,2,,,,
1970/06,ACCIDENT,3,2,8,,,,,17,,
1970/06,DROUGHT,1,,,,,,,,,
1970/06,EPIDEMIC,5,16,214,,,,,,,
1970/06,EXPLOSION,19,5,17,,,,,,,
1970/06,FIRE,25,2,4,,17,4,28,,,
1970/06,FLOOD,7,,,,,,,,,
1970/06,FOG,2,,,,,,,,,
1970/06,LEAK,1,2,5,,,,,,,
1970/06,POLLUTION,2,,,,,,,,,
1970/06,SNOWSTORM,1,,,,,,,,,
1970/06,STORM,3,,,,,,,,,
1970/06,STRUCTURE,5,32,18,,,,,,,
1970/07,ACCIDENT,3,2,16,,,,,,,
1970/07,DROUGHT,1,,,,,,,,,
1970/07,EPIDEMIC,6,13,294,,,,,,,
1970/07,EXPLOSION,2,,2,,,1,,,,
1970/07,FIRE,19,4,40,,104,5,1013,,,
1970/07,FOG,4,,15,,,,,,,
1970/07,FORESTFIRE,1,,,,,,,,,
1970/07,FROST,1,1,,,,,,,,
1970/07,LEAK,6,12,7,,,,,,,
1970/07,PLAGUE,1,,,,,,,,,
1970/07,SNOWSTORM,3,,,,,,,175,,
1970/07,STRONGWIND,9,,,,,,,,,
1970/07,STRUCTURE,5,3,4,,,1,,,,
1970/08,ACCIDENT,1,1,,,,,,,,
1970/08,AVALANCHE,1,,,,,,,,,
1970/08,DROUGHT,10,,,,,,,,,
1970/08,EPIDEMIC,4,3,247,,,,,,,
1970/08,EXPLOSION,5,1,,,,4,12,,,
1970/08,FIRE,36,1,9,,4,2,,,,15
1970/08,FORESTFIRE,1,,,,,,,,,
1970/08,LANDSLIDE,1,,,,1,,,,,
1970/08,LEAK,1,2,,,,,,,,
1970/08,OTHER,4,,,,,,,,,
1970/08,POLLUTION,1,,,,,,,,,
1970/08,STORM,2,,,,,,,,,
1970/08,STRUCTURE,5,1,,,,,,,,
1970/09,ACCIDENT,4,4,10,,,,,,,
1970/09,DROUGHT,7,,,,,,,,,
1970/09,EPIDEMIC,5,22,123,,,,,,,
1970/09,EPIZOOTIA,1,,,,,,,,,
1970/09,EXPLOSION,3,1,4,,,,68,,,
1970/09,FIRE,18,5,4,,5,12,84,,,
1970/09,FLOOD,5,,,,,,,,,
1970/09,FORESTFIRE,1,1,1,,,,,,,
1970/09,HAILSTORM,1,,,,,,,,,
1970/09,PLAGUE,6,,,,,,,,,
1970/09,POLLUTION,1,,,,,,,,,
1970/09,STORM,5,1,,,,,,1600,,
1970/09,STRONGWIND,1,,,,,,,3,,
1970/09,STRUCTURE,7,4,4,,,,,,,
1970/10,ACCIDENT,4,10,12,4,,,,,,
1970/10,DROUGHT,5,,,,,,,,,
1970/10,EPIDEMIC,4,3,7,,,,,,,
1970/10,EXPLOSION,2,2,,,,1,,,,320
1970/10,FIRE,26,11,36,,42,55,304,,,120
1970/10,FLOOD,1,,,,,,,,,
1970/10,FOG,2,48,,,,,,,,
1970/10,FROST,14,,,,,,,,,
1970/10,HAILSTORM,3,,,,,,1200,,,
1970/10,POLLUTION,2,,,,,,,,,
1970/10,RAIN,1,,,,,,,,,
1970/10,SNOWSTORM,2,,,,,,,,,
1970/10,STORM,8,2,,,,,,16000,,
1970/10,STRONGWIND,5,1,30,,,400,,620,,150
1970/10,STRUCTURE,2,3,1,,,,,,,
1970/11,EPIDEMIC,3,,,,,,,,,
1970/11,EXPLOSION,2,3,2,,,,,,,504
1970/11,FIRE,22,4,32,,,,6,,,
1970/11,FROST,4,,,,,,,,,
1970/11,HAILSTORM,2,,,,,,,,,
1970/11,PLAGUE,1,,,,,,,,,
1970/11,RAIN,2,,,,,,,,,
