Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
1970/01,DROUGHT,1,,,,,,,,,
1970/01,EPIDEMIC,2,,3621,,,,,,,
1970/01,FLOOD,4,,,,,50,,,,
1970/01,LANDSLIDE,4,1,1,,3,,,,,
1970/01,RAIN,1,,,,,,,,,
1970/02,ACCIDENT,1,1,10,,,,,,,
1970/02,EPIDEMIC,1,,30,,,,,,,
1970/02,HAILSTORM,1,,,,,,,,,
1970/02,LANDSLIDE,3,,,,14,,,,,
1970/03,EXPLOSION,2,5,30,,,,,,,
1970/03,FLOOD,3,2,,,,,,,,
1970/05,EXPLOSION,1,,,,1,,,,,
1970/07,ACCIDENT,1,1,5,,,,,,,
1970/08,DROUGHT,1,,,,,,,,,
1970/08,EPIDEMIC,1,8,15,,,,,,,
1970/08,FORESTFIRE,1,,,,,,,,,
1970/08,STRONGWIND,1,,,,,,,,,
1970/09,EPIDEMIC,1,100,,,,,,,,
1970/10,FLOOD,1,2,1,,,,,,,
1970/12,FLOOD,2,,,,,,10,,,
1970/12,LANDSLIDE,1,,,,,,,,,
1971/00,FLOOD,1,,,,,,,,,
1971/01,ALLUVION,2,,,5,,,,,,
1971/01,EPIDEMIC,1,180,,,,,,,,
1971/01,EXPLOSION,1,1,4,,,,,,,
1971/01,FLOOD,1,,,,,,,,,
1971/01,HAILSTORM,1,,,,,,,,,
1971/01,LEAK,1,,,,,,,,,
1971/02,ALLUVION,1,,,,,,,,,
1971/02,FLOOD,6,,,,,6,,,,
1971/02,LANDSLIDE,1,,,,,,,,,
1971/02,SPATE,1,,,,3,,,,,
1971/03,ALLUVION,1,,,,,,,,,
1971/03,EXPLOSION,1,,4,,,,,,,
1971/03,FLOOD,3,,,,1,,,,,
1971/03,RAIN,1,,,,,,,,,
1971/03,SPATE,1,,,,,,,,,
1971/04,FLOOD,2,,,,,,,,,
1971/06,EPIDEMIC,1,200,,,,,,,,
1971/07,FIRE,1,,,,,1,,,,
1971/10,EPIDEMIC,1,22,80,,,,,,,
1971/10,HAILSTORM,1,,,,,,,,,
1971/11,DROUGHT,2,,,,,,,,,
1971/11,FLOOD,1,,,,,,,,,
1971/12,EPIDEMIC,1,8,,,,,,,,
1971/12,LANDSLIDE,1,,,,,,,,,
1972/01,EPIDEMIC,1,4,50,,,,,,,
1972/01,FIRE,1,,,,,,,,,
1972/01,FLOOD,3,,,,2,,,,,
1972/02,EPIDEMIC,1,10,,,,,,,,
1972/02,HAILSTORM,1,,,,,,,,,
1972/03,FLOOD,2,,,,,,,,,
1972/04,FLOOD,5,1,,,,,,,,360
1972/04,LANDSLIDE,1,,,,,,,,,
1972/05,EXPLOSION,2,6,,,,,,,,
1972/06,EPIDEMIC,3,41,130,,,,,,,
1972/06,SNOWSTORM,1,,,,,,,,,
1972/07,EPIDEMIC,1,14,,,,,,,,
1972/08,EPIDEMIC,3,48,20,,,,,,,
1972/09,EPIDEMIC,2,31,26,,,,,,,
1972/09,FLOOD,1,,,,,,300,,,
1972/10,EPIDEMIC,5,82,43,,,,,,,
1972/11,FLOOD,2,,,,,40,,,,
1972/11,HAILSTORM,1,,,,,,,,,
1972/12,FLOOD,5,1,,,,,,,,
1972/12,HAILSTORM,1,,,,,,,,,
1972/12,LANDSLIDE,1,,,,,,,,,
1972/12,SPATE,1,3,1,,3,,,,,
1973/00,LANDSLIDE,1,,,,,,,,,
