Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
1970/01,ACCIDENT,1,3,,34,,,,,,
1970/01,EPIDEMIC,1,3,25,,,,,,,
1970/01,FIRE,1,,2,,7,7,,,,
1970/02,ACCIDENT,5,39,62,,,,,,,
1970/03,ACCIDENT,2,52,74,,,,,,,
1970/03,LANDSLIDE,1,15,,,,,,,,
1970/04,ACCIDENT,1,2,5,,,,,,,
1970/04,FLOOD,4,20,,,,,,,,
1970/05,ACCIDENT,2,5,3,,,,,,,
1970/05,FIRE,1,,42,,8,,,,,
1970/05,FLOOD,1,,,,,,,,,
1970/06,ACCIDENT,1,,3,,1,,,,,
1970/07,ACCIDENT,1,2,13,,,,,,,
1970/07,LANDSLIDE,1,1,4,,,,,,,
1970/08,ACCIDENT,3,10,122,,,,,,,
1970/09,ACCIDENT,2,11,92,,,,,,,
1970/10,ACCIDENT,2,1,37,,,,,,,
1970/10,FIRE,1,,4,,,,,,,
1970/10,POLLUTION,1,1,,,,,,,,
1970/11,ACCIDENT,1,22,12,,,,,,,
1970/11,EXPLOSION,1,1,7,,,2,,,,
1970/11,FIRE,1,,,2,2,2,,30,,
1970/12,ACCIDENT,1,9,,,,,,,,
1970/12,EARTHQUAKE,3,,,,,,,,,
1970/12,FIRE,1,3,,,3,,,,,
1971/01,ACCIDENT,1,3,48,,,,,,,
1971/03,ACCIDENT,3,11,79,,,,,,,
1971/03,FLOOD,1,,,,,,,,,
1971/03,LANDSLIDE,1,30,,,,,,,,
1971/04,ACCIDENT,3,,81,,,,,,,
1971/05,ACCIDENT,2,5,37,,,,,,,
1971/06,FIRE,1,,,,,3,,,,
1971/07,ACCIDENT,3,15,12,,,,,,,
1971/08,ACCIDENT,4,12,44,15,,,,,,
1971/08,FIRE,2,1,4,,7,,75,13,,
1971/09,ACCIDENT,1,9,30,,,,,,,
1971/10,ACCIDENT,2,5,,,,,,,,
1971/11,ACCIDENT,2,2,13,,,,,,,
1971/11,FIRE,1,2,,,,,,,,
1971/12,ACCIDENT,2,6,5,,,,,,,
1971/12,FIRE,2,2,4,,6,13,40,,,
1972/01,ACCIDENT,1,2,16,,,,,,,
1972/02,ACCIDENT,2,6,,,,,,,,
1972/03,ACCIDENT,4,25,50,,,,,,,
1972/04,ACCIDENT,2,6,8,,,,,,,
