Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
1970/01,ACCIDENT,5,1,,28,,,,,,
1970/01,ALLUVION,23,,,,10,30,5000,,,
1970/01,EARTHQUAKE,4,,,,,,,,,
1970/01,ELECTRICSTORM,1,,,,,,,,,
1970/01,EPIDEMIC,6,14,20,,,,,,,
1970/01,FIRE,8,,,,12,,20,,,
1970/01,FLOOD,67,1,,,176,373,1930,37000,,200
1970/01,HAILSTORM,1,,,,,,,,,
1970/01,LANDSLIDE,36,3,,,5,60,250,,,
1970/01,PLAGUE,10,,,,,,6,,,
1970/01,POLLUTION,12,,,,,,,,,
1970/01,RAIN,36,3,,9,2024,112,25430,,,500
1970/01,SPATE,7,,,,,,,,,
1970/01,STRUCTURE,2,,,,,,,,,
1970/02,ACCIDENT,5,7,,1,,,,,,
1970/02,ALLUVION,2,1,,,,,,,,
1970/02,DROUGHT,1,,,,,,,,,
1970/02,EARTHQUAKE,3,35,,,20,,2500,10000,,
1970/02,ELECTRICSTORM,3,1,7,,,,,,,
1970/02,EPIDEMIC,18,111,6,,,,,,,
1970/02,EXPLOSION,2,,,,,,,,,
1970/02,FIRE,2,,,,,,,,,
1970/02,FLOOD,29,,,,15,,,,,
1970/02,LANDSLIDE,2,,,,,,,,,
1970/02,OTHER,1,,,,,,,,,
1970/02,PLAGUE,3,,,,,,,,,
1970/02,POLLUTION,5,5,,,,,,,,
1970/02,RAIN,12,,,,,,,,,
1970/02,STORM,1,,,,,,,,,
1970/03,ALLUVION,1,6,,,,,,,,
1970/03,DROUGHT,1,,,,,,,,,
1970/03,ELECTRICSTORM,1,,,,,,,,,
1970/03,EPIDEMIC,11,75,,,,,,,,
1970/03,FIRE,2,,,,50,,760,,,
1970/03,FLOOD,6,,,,,,,,,
1970/03,LANDSLIDE,3,,,,,,,6000,,
1970/03,PLAGUE,11,,,,,,,,,
1970/03,POLLUTION,8,,,,,,,,,
1970/03,RAIN,4,,,,,,,,,
1970/03,STORM,1,,,,,,,,,
1970/03,STRUCTURE,2,,,,1,,,,,
1970/04,DROUGHT,1,,,,,,,,,
1970/04,ELECTRICSTORM,1,1,2,,,,,,,
1970/04,EPIDEMIC,12,8,100,,,,,,,
1970/04,EXPLOSION,1,35,35,,,,,,,
1970/04,FIRE,2,1,,,70,,300,,,
1970/04,FLOOD,3,,,,,,,,,
1970/04,LANDSLIDE,8,,,,,,,,,1000
1970/04,OTHER,3,,,,,,,,,
1970/04,PLAGUE,6,,,,,,,,,
1970/04,POLLUTION,4,,,,,,,7000,,
1970/04,RAIN,16,,,,,,,,,
1970/04,STORM,1,,,,,,,,,
1970/04,STRUCTURE,4,,,,,,,,,
1970/05,ACCIDENT,2,10,,,,,,,,
1970/05,ALLUVION,7,18016,,,,,,,,
1970/05,AVALANCHE,4,19,,3000,,,,,,
1970/05,BIOLOGICAL,1,,,,,,,,,
1970/05,EARTHQUAKE,185,13750,,,21205,11022,54269,2500,,1000
1970/05,EPIDEMIC,11,,40,,,,,,,
1970/05,EPIZOOTIA,1,,,,,,,,,
1970/05,FIRE,2,5,,,,,,,,
1970/05,FLOOD,16,,,,,,,,,
1970/05,FROST,5,,,,,,,,,
1970/05,LANDSLIDE,19,211,,,,,,,,
1970/05,OTHER,1,,,,,,,,,
1970/05,PLAGUE,3,,,,,,,,,
1970/05,POLLUTION,15,,,,,,,7500,,
1970/05,RAIN,6,,,,,,,,,
1970/05,STRUCTURE,7,,,,,,,,,
1970/05,SURGE,2,,,,,,,,,5000
1970/06,ACCIDENT,7,12,,7,,,,,,
1970/06,BIOLOGICAL,3,,,,,,,,,
1970/06,EARTHQUAKE,11,,,,,,,,,
1970/06,EPIDEMIC,29,100,,,,,,,,
1970/06,FIRE,1,,,,,,,,,
1970/06,FROST,3,38,,,,,,,,
1970/06,LANDSLIDE,6,4,,,,,,,,
1970/06,LEAK,1,2,,,,,,,,
1970/06,PLAGUE,8,,,,,,,,,
1970/06,POLLUTION,3,,,,,,,,,
1970/06,RAIN,8,,,,,,,,,
1970/06,STRUCTURE,2,,,,,,,,,
1970/07,ACCIDENT,1,6,,,,,,,,
1970/07,AVALANCHE,1,,,,,,,,,
1970/07,DROUGHT,3,,,,,,,,,
1970/07,EARTHQUAKE,3,,,,20,,100,,,
1970/07,EPIDEMIC,7,,20,,,,,,,
1970/07,EPIZOOTIA,4,,,,,,,,,
1970/07,FIRE,2,1,,,3,3,,,,
1970/07,FORESTFIRE,1,,,,,,,,,
1970/07,FROST,11,,,,,,,,,
1970/07,HEATWAVE,1,,,,,,,,,
1970/07,LANDSLIDE,4,2,,,,,,,,
1970/07,PLAGUE,10,,,,,,,,,
1970/07,POLLUTION,7,,,,,,,,,
1970/07,RAIN,3,,,,,,,,,
1970/07,STRONGWIND,1,,,,,,,,,
1970/07,SURGE,2,,,,,,,,,
1970/08,ACCIDENT,2,,8,,,,,,,
1970/08,AVALANCHE,1,,,,,,,,,
1970/08,DROUGHT,1,,,,,,,,,
1970/08,EARTHQUAKE,3,,,,,,20,,,
1970/08,EPIDEMIC,18,,20,,,,,,,
1970/08,EPIZOOTIA,1,,,,,,,,,
1970/08,FIRE,8,,,,2,,,,,
1970/08,LANDSLIDE,4,1,,,,,,,,
1970/08,PLAGUE,11,,,,,,,,,
1970/08,POLLUTION,6,,,,,,,,,
1970/08,STRONGWIND,4,2,,,100,,,,,
1970/09,ACCIDENT,1,,,,,,,,,
1970/09,DROUGHT,2,,,,,,,,,
1970/09,EARTHQUAKE,1,,,,,,,,,
1970/09,ELECTRICSTORM,2,,,,1,,,,,
1970/09,EPIDEMIC,15,2,3,,,,,1,,
1970/09,EPIZOOTIA,1,,,,,,,,,
1970/09,FIRE,4,,,,,,,,,
1970/09,LANDSLIDE,3,,,,,200,,,,
1970/09,PLAGUE,5,,,,,,,,,
1970/09,POLLUTION,4,,,,,,,,,
1970/09,RAIN,12,,,,,,,,,
1970/09,SNOWSTORM,8,,,,,,,,,
1970/09,STRONGWIND,3,,,,,,,,,
1970/09,STRUCTURE,1,,,,,,,,,
1970/10,EPIDEMIC,29,14,4,,,,,,,
