Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
2010/40,FLOOD,1,,,,,25,,109,,
2010/60,LANDSLIDE,1,3,,,,,,,,
1530/01,EARTHQUAKE,1,,,,,,,,,
1541/00,HURRICANE,1,,,,,,,,,
1573/00,EPIDEMIC,1,,,,,,,,,
1574/00,PLAGUE,2,,,,,,,,,
1576/00,PLAGUE,2,,,,,,,,,
1578/00,EPIDEMIC,2,,,,,,,,,
1579/00,FIRE,1,,,,,,,,,
1580/00,EPIDEMIC,2,,,,,,,,,
1585/00,EPIDEMIC,1,,,,,,,,,
1596/00,PLAGUE,2,,,,,,,,,
1598/00,EPIDEMIC,1,,,,,,,,,
1599/00,EPIDEMIC,1,,,,,,,,,
1606/00,OTHER,2,,,,,,,,,
1608/00,OTHER,2,,,,,,,,,
1612/00,DROUGHT,2,,,,,,,,,
1614/00,PLAGUE,1,,,,,,,,,
1621/06,EPIDEMIC,3,,,,,,,,,
1623/01,PLAGUE,1,,,,,,,,,
1624/03,EPIDEMIC,1,,,,,,,,,
1626/01,EPIDEMIC,1,,,,,,,,,
1629/00,EARTHQUAKE,1,,,,,,,,,
1638/00,EPIDEMIC,1,,,,,,,,,
1641/06,EARTHQUAKE,2,,,,,,,,,
1641/11,EARTHQUAKE,1,,,,,,,,,
1644/01,EARTHQUAKE,3,,,,,,,,,
1660/00,PLAGUE,2,,,,,,,,,
1661/00,EPIDEMIC,2,,,,,,,,,
1662/00,PLAGUE,1,,,,,,,,,
1663/00,PLAGUE,2,,,,,,,,,
1664/00,EPIDEMIC,1,,,,,,,,,
1668/00,EPIDEMIC,1,,,,,,,,,
1674/01,EARTHQUAKE,3,,,,,,,,,
1684/05,EARTHQUAKE,1,,,,,,,,,
1693/00,EPIDEMIC,1,,,,,,,,,
1694/00,EPIDEMIC,1,,,,,,,,,
1702/00,DROUGHT,1,,,,,,,,,
1703/00,EARTHQUAKE,1,,,,,,,,,
1724/00,EPIDEMIC,1,,,,,,,,,
1726/00,EPIDEMIC,1,,,,,,,,,
1728/00,OTHER,1,,,,,,,,,
1732/00,EPIDEMIC,1,,,,,,,,,
1733/00,EPIDEMIC,1,,,,,,,,,
1733/00,OTHER,1,,,,,,,,,
1740/00,RAIN,1,,,,,,,,,
1742/00,EPIDEMIC,2,,,,,,,,,
1743/00,EPIDEMIC,1,,,,,,,,,
1751/01,OTHER,1,,,,,,,,,
1751/06,OTHER,1,,,,,,,,,
1757/02,RAIN,1,,,,,,,,,
1759/00,EPIDEMIC,1,,,,,,,,,
1762/00,EPIDEMIC,1,,,,,,,,,
1763/00,EPIDEMIC,1,1000,,,,,,,,
1764/00,EPIDEMIC,1,10000,,,,,,,,
1764/00,OTHER,1,,,,,,,,,
1766/01,EARTHQUAKE,1,,,,,,,,,
1775/00,EARTHQUAKE,1,,,,,,,,,
1781/00,RAIN,1,,,,,,,,,
1786/00,EARTHQUAKE,1,,,,,,,,,
1794/00,EARTHQUAKE,1,,,,,,,,,
1799/11,EARTHQUAKE,1,,,,,,,,,
1800/03,SURGE,2,2,,,,,,,,
1801/07,EARTHQUAKE,1,,,,,,,,,
1802/05,EARTHQUAKE,2,,,,,,,,,
1802/08,EARTHQUAKE,1,,,,,,,,,
1812/00,RAIN,1,,,,,,,,,
1812/03,EARTHQUAKE,1,,,,,,,,,
1812/03,RAIN,1,,,,,,,,,
1812/04,RAIN,1,,,,,,,,,
1823/03,EARTHQUAKE,1,,,,,,,,,
1830/04,RAIN,1,,,,,,,,,
1834/08,EARTHQUAKE,1,,,,,,,,,
1837/09,EARTHQUAKE,2,,,,,,,,,
1839/04,EARTHQUAKE,1,,,,,,,,,
1842/04,RAIN,1,,,,,,,,,
1847/00,RAIN,1,,,,,,,,,
1849/02,EARTHQUAKE,1,,,,,,,,,
1853/07,EARTHQUAKE,1,,,,,,,,,
1865/00,EARTHQUAKE,1,,,,,,,,,
1865/11,EARTHQUAKE,1,,,,,,,,,
1874/08,EARTHQUAKE,1,,,,,,,,,
1875/06,STRONGWIND,1,,,,,,,,,
1878/04,EARTHQUAKE,1,100,,,,,,,,
1879/03,EARTHQUAKE,1,,,,,,,,,
1888/01,EARTHQUAKE,1,,,,,,,,,
1888/11,EARTHQUAKE,1,,,,,,,,,
1894/04,EARTHQUAKE,1,319,,,,,,,,
1900/10,EARTHQUAKE,3,,,,,,,,,
1903/02,ACCIDENT,1,2,,,,,,,,
1904/06,ACCIDENT,1,,,,,,,,,
1904/07,ACCIDENT,1,,,,,,,,,
1905/05,EARTHQUAKE,2,,,,100,100,,,,
1905/12,ACCIDENT,1,,,,,,,,,
1906/04,ACCIDENT,1,,,,,,,,,
1912/10,ACCIDENT,1,,,,,,,,,
1919/03,EARTHQUAKE,1,,,,,,,,,
1929/01,EARTHQUAKE,2,50,800,,,,,,,
1931/08,ACCIDENT,1,102,,,,,,,,
1932/03,EARTHQUAKE,2,,,,,,,,,
1942/10,EARTHQUAKE,1,,,,22,,,,,
1945/10,EARTHQUAKE,1,,,,,,,,,
1949/11,LANDSLIDE,2,,,,,,,,,
1950/08,EARTHQUAKE,2,,,,250,700,,,,
1950/12,ACCIDENT,1,29,,,,,,,,
1951/01,ACCIDENT,1,1,,,,,,,,
1951/02,FLOOD,1,30,,,,,,,,
1951/02,LANDSLIDE,1,1,12,,5,5,18,18,,
1951/02,RAIN,6,2,5,,1,4,4,,,
1957/04,EARTHQUAKE,2,,,,,,,,,
1957/07,EARTHQUAKE,1,,,,,,,,,
1957/10,EARTHQUAKE,3,,,,,,,,,
1958/00,ALLUVION,1,74,,,,,,,,
1960/04,ACCIDENT,2,14,,,,,,,,
1964/04,LANDSLIDE,1,,,,,,,,,
1964/08,LANDSLIDE,1,34,,,,,,,,
1965/07,EARTHQUAKE,1,,,,,,,,,
1966/09,EARTHQUAKE,1,,,,,,,,,
1967/07,EARTHQUAKE,3,,,,,,,,,
1968/09,EARTHQUAKE,1,2,,,,,,,,
1969/03,ACCIDENT,1,,,,,,,,,
1970/00,LANDSLIDE,1,,,,,,,,,
1970/01,EPIDEMIC,9,16,,,,,,,,
1970/01,FIRE,4,,,,,,,,,
1970/02,FIRE,3,1,,,1,1,,23,,
1970/02,FOG,1,,,,,,,,,
1970/02,POLLUTION,1,,,,,,,,,
1970/03,EPIDEMIC,1,,,,,,,,,
1970/03,FIRE,3,,,,,,,,,
1970/03,LANDSLIDE,5,6,,,70,,307,,,
1970/04,FIRE,3,,,,,,,,,
1970/04,FLOOD,1,1,,,,,,,,
1970/04,FORESTFIRE,3,,,,,,,,,
1970/04,LANDSLIDE,2,2,,,1,,,,,
1970/04,STRUCTURE,1,,,,,,,,,
1970/05,ELECTRICSTORM,1,1,,,,,,,,
1970/05,FIRE,3,1,,,,1,,,,
